Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, Etched Bleached Bone Stone Cover
thermaldynamics:cover:0, Bleached Bone Cobblestone Cover
thermaldynamics:cover:0, Blood Stained Brick Cover
thermaldynamics:cover:0, Fitted Blood Stained Stone Cover
thermaldynamics:cover:0, Blood Stained Block Cover
thermaldynamics:cover:0, Ornate Blood Stained Stone Cover
thermaldynamics:cover:0, Etched Blood Stained Stone Cover
thermaldynamics:cover:0, Blood Stained Cobblestone Cover
thermaldynamics:cover:0, Frost Bound Brick Cover
thermaldynamics:cover:0, Fitted Frost Bound Stone Cover
thermaldynamics:cover:0, Frost Bound Block Cover
thermaldynamics:cover:0, Ornate Frost Bound Stone Cover
thermaldynamics:cover:0, Etched Frost Bound Stone Cover
thermaldynamics:cover:0, Frost Bound Cobblestone Cover
thermaldynamics:cover:0, Infernal Brick Cover
thermaldynamics:cover:0, Fitted Infernal Stone Cover
thermaldynamics:cover:0, Infernal Block Cover
thermaldynamics:cover:0, Ornate Infernal Stone Cover
thermaldynamics:cover:0, Etched Infernal Stone Cover
thermaldynamics:cover:0, Infernal Cobblestone Cover
thermaldynamics:cover:0, Quarried Brick Cover
thermaldynamics:cover:0, Fitted Quarried Stone Cover
thermaldynamics:cover:0, Quarried Block Cover
thermaldynamics:cover:0, Ornate Quarried Stone Cover
thermaldynamics:cover:0, Etched Quarried Stone Cover
thermaldynamics:cover:0, Quarried Cobblestone Cover
thermaldynamics:cover:0, Sandy Brick Cover
thermaldynamics:cover:0, Fitted Sandy Stone Cover
thermaldynamics:cover:0, Sandy Block Cover
thermaldynamics:cover:0, Ornate Sandy Stone Cover
thermaldynamics:cover:0, Etched Sandy Stone Cover
thermaldynamics:cover:0, Sandy Cobblestone Cover
thermaldynamics:cover:0, Red Sandy Brick Cover
thermaldynamics:cover:0, Fitted Red Sandy Stone Cover
thermaldynamics:cover:0, Red Sandy Block Cover
thermaldynamics:cover:0, Ornate Red Sandy Stone Cover
thermaldynamics:cover:0, Etched Red Sandy Stone Cover
thermaldynamics:cover:0, Red Sandy Cobblestone Cover
thermaldynamics:cover:0, Fitted Nether Stone Cover
thermaldynamics:cover:0, Nether Block Cover
thermaldynamics:cover:0, Ornate Nether Stone Cover
thermaldynamics:cover:0, Etched Nether Stone Cover
thermaldynamics:cover:0, Nether Cobblestone Cover
thermaldynamics:cover:0, Fitted Red Nether Stone Cover
thermaldynamics:cover:0, Red Nether Block Cover
thermaldynamics:cover:0, Ornate Red Nether Stone Cover
thermaldynamics:cover:0, Etched Red Nether Stone Cover
thermaldynamics:cover:0, Red Nether Cobblestone Cover
thermaldynamics:cover:0, Andesite Brick Cover
thermaldynamics:cover:0, Fitted Andesite Cover
thermaldynamics:cover:0, Ornate Andesite Cover
thermaldynamics:cover:0, Etched Andesite Cover
thermaldynamics:cover:0, Andesite Cobblestone Cover
thermaldynamics:cover:0, Diorite Brick Cover
thermaldynamics:cover:0, Fitted Diorite Cover
thermaldynamics:cover:0, Ornate Diorite Cover
thermaldynamics:cover:0, Etched Diorite Cover
thermaldynamics:cover:0, Diorite Cobblestone Cover
thermaldynamics:cover:0, Granite Brick Cover
thermaldynamics:cover:0, Fitted Granite Cover
thermaldynamics:cover:0, Ornate Granite Cover
thermaldynamics:cover:0, Etched Granite Cover
thermaldynamics:cover:0, Granite Cobblestone Cover
thermaldynamics:cover:0, Pearlized Brick Cover
thermaldynamics:cover:0, Fitted Pearlized Stone Cover
thermaldynamics:cover:0, Pearlized Block Cover
thermaldynamics:cover:0, Ornate Pearlized Stone Cover
thermaldynamics:cover:0, Etched Pearlized Stone Cover
thermaldynamics:cover:0, Pearlized Cobblestone Cover
thermaldynamics:cover:0, Strengthened Glass Cover
thermaldynamics:cover:0, Orange Strengthened Glass Cover
thermaldynamics:cover:0, Magenta Strengthened Glass Cover
thermaldynamics:cover:0, Light Blue Strengthened Glass Cover
thermaldynamics:cover:0, Yellow Strengthened Glass Cover
thermaldynamics:cover:0, Lime Strengthened Glass Cover
thermaldynamics:cover:0, Pink Strengthened Glass Cover
thermaldynamics:cover:0, Gray Strengthened Glass Cover
thermaldynamics:cover:0, Light Gray Strengthened Glass Cover
thermaldynamics:cover:0, Cyan Strengthened Glass Cover
thermaldynamics:cover:0, Purple Strengthened Glass Cover
thermaldynamics:cover:0, Blue Strengthened Glass Cover
thermaldynamics:cover:0, Brown Strengthened Glass Cover
thermaldynamics:cover:0, Green Strengthened Glass Cover
thermaldynamics:cover:0, Red Strengthened Glass Cover
thermaldynamics:cover:0, Black Strengthened Glass Cover
thermaldynamics:cover:0, Creosote Wood Block Cover
thermaldynamics:cover:0, Block of Coal Coke Cover
thermaldynamics:cover:0, Crushed Obsidian Cover
thermaldynamics:cover:0, Abyssal Stone Cover
thermaldynamics:cover:0, Quarried Stone Cover
thermaldynamics:cover:0, White Reinforced Concrete Cover
thermaldynamics:cover:0, Orange Reinforced Concrete Cover
thermaldynamics:cover:0, Magenta Reinforced Concrete Cover
thermaldynamics:cover:0, Light Blue Reinforced Concrete Cover
thermaldynamics:cover:0, Yellow Reinforced Concrete Cover
thermaldynamics:cover:0, Lime Reinforced Concrete Cover
thermaldynamics:cover:0, Pink Reinforced Concrete Cover
thermaldynamics:cover:0, Gray Reinforced Concrete Cover
thermaldynamics:cover:0, Reinforced Concrete Cover
thermaldynamics:cover:0, Cyan Reinforced Concrete Cover
thermaldynamics:cover:0, Purple Reinforced Concrete Cover
thermaldynamics:cover:0, Blue Reinforced Concrete Cover
thermaldynamics:cover:0, Brown Reinforced Concrete Cover
thermaldynamics:cover:0, Green Reinforced Concrete Cover
thermaldynamics:cover:0, Red Reinforced Concrete Cover
thermaldynamics:cover:0, Black Reinforced Concrete Cover
thermaldynamics:cover:0, White Metal Post Cover
thermaldynamics:cover:0, Orange Metal Post Cover
thermaldynamics:cover:0, Magenta Metal Post Cover
thermaldynamics:cover:0, Light Blue Metal Post Cover
thermaldynamics:cover:0, Yellow Metal Post Cover
thermaldynamics:cover:0, Lime Metal Post Cover
thermaldynamics:cover:0, Pink Metal Post Cover
thermaldynamics:cover:0, Gray Metal Post Cover
thermaldynamics:cover:0, Light Gray Metal Post Cover
thermaldynamics:cover:0, Cyan Metal Post Cover
thermaldynamics:cover:0, Purple Metal Post Cover
thermaldynamics:cover:0, Blue Metal Post Cover
thermaldynamics:cover:0, Brown Metal Post Cover
thermaldynamics:cover:0, Green Metal Post Cover
thermaldynamics:cover:0, Red Metal Post Cover
thermaldynamics:cover:0, Black Metal Post Cover
thermaldynamics:cover:0, White Metal Platform Cover
thermaldynamics:cover:0, Orange Metal Platform Cover
thermaldynamics:cover:0, Magenta Metal Platform Cover
thermaldynamics:cover:0, Light Blue Metal Platform Cover
thermaldynamics:cover:0, Yellow Metal Platform Cover
thermaldynamics:cover:0, Lime Metal Platform Cover
thermaldynamics:cover:0, Pink Metal Platform Cover
thermaldynamics:cover:0, Gray Metal Platform Cover
thermaldynamics:cover:0, Light Gray Metal Platform Cover
thermaldynamics:cover:0, Cyan Metal Platform Cover
thermaldynamics:cover:0, Purple Metal Platform Cover
thermaldynamics:cover:0, Blue Metal Platform Cover
thermaldynamics:cover:0, Brown Metal Platform Cover
thermaldynamics:cover:0, Green Metal Platform Cover
thermaldynamics:cover:0, Red Metal Platform Cover
thermaldynamics:cover:0, Black Metal Platform Cover
thermaldynamics:cover:0, Elevator Track Cover
thermaldynamics:cover:0, Abandoned Track Cover
thermaldynamics:cover:0, Electric Track Cover
thermaldynamics:cover:0, High Speed Track Cover
thermaldynamics:cover:0, High Speed Electric Track Cover
thermaldynamics:cover:0, Reinforced Track Cover
thermaldynamics:cover:0, Strap Iron Track Cover
thermaldynamics:cover:0, Sulfur Ore Cover
thermaldynamics:cover:0, Saltpeter Ore Cover
thermaldynamics:cover:0, Dark Diamond Ore Cover
thermaldynamics:cover:0, Dark Emerald Ore Cover
thermaldynamics:cover:0, Dark Lapis Lazuli Ore Cover
thermaldynamics:cover:0, Copper Ore Cover
thermaldynamics:cover:0, Tin Ore Cover
thermaldynamics:cover:0, Lead Ore Cover
thermaldynamics:cover:0, Silver Ore Cover
thermaldynamics:cover:0, Nickel Ore Cover
thermaldynamics:cover:0, Zinc Ore Cover
thermaldynamics:cover:0, Poor Iron Ore Cover
thermaldynamics:cover:0, Poor Gold Ore Cover
thermaldynamics:cover:0, Poor Copper Ore Cover
thermaldynamics:cover:0, Poor Tin Ore Cover
thermaldynamics:cover:0, Poor Lead Ore Cover
thermaldynamics:cover:0, Poor Silver Ore Cover
thermaldynamics:cover:0, Poor Nickel Ore Cover
thermaldynamics:cover:0, Poor Zinc Ore Cover
thermaldynamics:cover:0, Firestone Ore Cover
thermaldynamics:cover:0, Saltpeter Ore Spawner Cover
simplyjetpacks:itemjetpack:0, Creative Jetpack
simplyjetpacks:itemjetpack:1, Conductive Iron Jetpack
simplyjetpacks:itemjetpack:2, Electrical Steel Jetpack
simplyjetpacks:itemjetpack:3, Energetic Jetpack
simplyjetpacks:itemjetpack:4, Vibrant Jetpack
simplyjetpacks:itemjetpack:5, Conductive Iron Jetpack (Armored)
simplyjetpacks:itemjetpack:6, Electrical Steel Jetpack (Armored)
simplyjetpacks:itemjetpack:7, Energetic Jetpack (Armored)
simplyjetpacks:itemjetpack:8, Vibrant Jetpack (Armored)
simplyjetpacks:itemjetpack:9, Dark Soularium JetPlate
simplyjetpacks:itemjetpack:10, Leadstone Jetpack
simplyjetpacks:itemjetpack:11, Hardened Jetpack
simplyjetpacks:itemjetpack:12, Reinforced Jetpack
simplyjetpacks:itemjetpack:13, Resonant Jetpack
simplyjetpacks:itemjetpack:14, Leadstone Jetpack (Armored)
simplyjetpacks:itemjetpack:15, Hardened Jetpack (Armored)
simplyjetpacks:itemjetpack:16, Reinforced Jetpack (Armored)
simplyjetpacks:itemjetpack:17, Resonant Jetpack (Armored)
simplyjetpacks:itemjetpack:18, Flux-Infused JetPlate
simplyjetpacks:metaitem:0, Particle Customizer (Default)
simplyjetpacks:metaitem:1, Particle Customizer (None)
simplyjetpacks:metaitem:2, Particle Customizer (Smoke Only)
simplyjetpacks:metaitem:3, Particle Customizer (Rainbow Smoke)
simplyjetpacks:metaitem:4, Leather Strap
simplyjetpacks:metaitemmods:3, Dark Soularium Ingot
simplyjetpacks:metaitemmods:4, Reinforced Glider Wing
simplyjetpacks:metaitemmods:5, Flight Control Unit (Empty)
simplyjetpacks:metaitemmods:6, Flight Control Unit
simplyjetpacks:metaitemmods:7, Conductive Iron Thruster
simplyjetpacks:metaitemmods:8, Electrical Steel Thruster
simplyjetpacks:metaitemmods:9, Energetic Thruster
simplyjetpacks:metaitemmods:10, Vibrant Thruster
simplyjetpacks:metaitemmods:11, Dark Soularium Thruster
simplyjetpacks:metaitemmods:12, Silicon Armor Plating
simplyjetpacks:metaitemmods:13, Conductive Iron Armor Plating
simplyjetpacks:metaitemmods:14, Electrical Steel Armor Plating
simplyjetpacks:metaitemmods:15, Dark Steel Armor Plating
simplyjetpacks:metaitemmods:16, Fluxed Armor Plating
simplyjetpacks:metaitemmods:17, Flux-Infused Chestplate Assembly
simplyjetpacks:metaitemmods:18, Glowstone Elevation Unit (Empty)
simplyjetpacks:metaitemmods:19, Glowstone Elevation Unit
simplyjetpacks:metaitemmods:20, Cryotheum Coolant Unit (Empty)
simplyjetpacks:metaitemmods:21, Cryotheum Coolant Unit
simplyjetpacks:metaitemmods:22, Iron Armor Plating
simplyjetpacks:metaitemmods:23, Bronze Armor Plating
simplyjetpacks:metaitemmods:24, Invar Armor Plating
simplyjetpacks:metaitemmods:25, Enderium Armor Plating
simplyjetpacks:metaitemmods:26, Leadstone Thruster
simplyjetpacks:metaitemmods:27, Hardened Thruster
simplyjetpacks:metaitemmods:28, Reinforced Thruster
simplyjetpacks:metaitemmods:29, Resonant Thruster
simplyjetpacks:metaitemmods:30, Fluxed Thruster
simplyjetpacks:itemfluxpack:0, Creative Flux Pack
simplyjetpacks:itemfluxpack:1, Basic Capacitor Pack
simplyjetpacks:itemfluxpack:2, Capacitor Pack
simplyjetpacks:itemfluxpack:3, Vibrant Capacitor Pack
simplyjetpacks:itemfluxpack:4, Capacitor Pack (Armored)
simplyjetpacks:itemfluxpack:5, Vibrant Capacitor Pack (Armored)
simplyjetpacks:itemfluxpack:6, Leadstone Flux Pack
simplyjetpacks:itemfluxpack:7, Reinforced Flux Pack
simplyjetpacks:itemfluxpack:8, Resonant Flux Pack
simplyjetpacks:itemfluxpack:9, Reinforced Flux Pack (Armored)
simplyjetpacks:itemfluxpack:10, Resonant Flux Pack (Armored)
thermalcultivation:watering_can:0, Watering Can (Basic)
thermalcultivation:watering_can:1, Watering Can (Hardened)
thermalcultivation:watering_can:2, Watering Can (Reinforced)
thermalcultivation:watering_can:3, Watering Can (Signalum)
thermalcultivation:watering_can:4, Watering Can (Resonant)
thermalcultivation:watering_can:32000, Watering Can (Creative)
thermalinnovation:drill:0, Fluxbore (Basic)
thermalinnovation:drill:1, Fluxbore (Hardened)
thermalinnovation:drill:2, Fluxbore (Reinforced)
thermalinnovation:drill:3, Fluxbore (Signalum)
thermalinnovation:drill:4, Fluxbore (Resonant)
thermalinnovation:drill:32000, Fluxbore (Creative)
thermalinnovation:saw:0, Fluxsaw (Basic)
thermalinnovation:saw:1, Fluxsaw (Hardened)
thermalinnovation:saw:2, Fluxsaw (Reinforced)
thermalinnovation:saw:3, Fluxsaw (Signalum)
thermalinnovation:saw:4, Fluxsaw (Resonant)
thermalinnovation:saw:32000, Fluxsaw (Creative)
thermalinnovation:magnet:0, Fluxomagnet (Basic)
thermalinnovation:magnet:1, Fluxomagnet (Hardened)
thermalinnovation:magnet:2, Fluxomagnet (Reinforced)
thermalinnovation:magnet:3, Fluxomagnet (Signalum)
thermalinnovation:magnet:4, Fluxomagnet (Resonant)
thermalinnovation:magnet:32000, Fluxomagnet (Creative)
thermalinnovation:injector:0, Hypoinfuser (Basic)
thermalinnovation:injector:1, Hypoinfuser (Hardened)
thermalinnovation:injector:2, Hypoinfuser (Reinforced)
thermalinnovation:injector:3, Hypoinfuser (Signalum)
thermalinnovation:injector:4, Hypoinfuser (Resonant)
thermalinnovation:injector:32000, Hypoinfuser (Creative)
thermalinnovation:quiver:0, Alchemical Quiver (Basic)
thermalinnovation:quiver:1, Alchemical Quiver (Hardened)
thermalinnovation:quiver:2, Alchemical Quiver (Reinforced)
thermalinnovation:quiver:3, Alchemical Quiver (Signalum)
thermalinnovation:quiver:4, Alchemical Quiver (Resonant)
thermalinnovation:quiver:32000, Alchemical Quiver (Creative)
tombmanygraves:death_list, Death Inventory List
thaumcraft:ore_amber, Amber Bearing Stone
thaumcraft:ore_cinnabar, Cinnabar Ore
thaumcraft:ore_quartz, Quartz Ore
thaumcraft:crystal_aer, Air Crystal
thaumcraft:crystal_ignis, Fire Crystal
thaumcraft:crystal_aqua, Water Crystal
thaumcraft:crystal_terra, Earth Crystal
thaumcraft:crystal_ordo, Order Crystal
thaumcraft:crystal_perditio, Entropy Crystal
thaumcraft:crystal_vitium, Flux Crystal
thaumcraft:stone_arcane, Arcane Stone
thaumcraft:stone_arcane_brick, Arcane Stone Brick
thaumcraft:stone_ancient, Ancient Stone
thaumcraft:stone_ancient_tile, Ancient Stone Tile
thaumcraft:stone_ancient_rock, Ancient Rock
thaumcraft:stone_ancient_glyphed, Glyphed Stone
thaumcraft:stone_ancient_doorway, Ancient Barrier
thaumcraft:stone_eldritch_tile, Eldritch Stone
thaumcraft:stone_porous, Porous Stone
thaumcraft:stairs_arcane, Arcane Stone Stairs
thaumcraft:stairs_arcane_brick, Arcane Brick Stairs
thaumcraft:stairs_ancient, Ancient Stone Stairs
thaumcraft:slab_arcane_stone:0, Arcane Stone Slab
thaumcraft:slab_arcane_brick:0, Arcane Brick Slab
thaumcraft:slab_ancient:0, Ancient Stone Slab
thaumcraft:slab_eldritch:0, Eldritch Stone Slab
thaumcraft:sapling_greatwood, Greatwood Sapling
thaumcraft:sapling_silverwood, Silverwood Sapling
thaumcraft:log_greatwood, Greatwood Log
thaumcraft:log_silverwood, Silverwood Log
thaumcraft:leaves_greatwood, Greatwood Leaves
thaumcraft:leaves_silverwood, Silverwood Leaves
thaumcraft:shimmerleaf, Shimmerleaf
thaumcraft:cinderpearl, Cinderpearl
thaumcraft:vishroom, Vishroom
thaumcraft:plank_greatwood, Greatwood Planks
thaumcraft:plank_silverwood, Silverwood Planks
thaumcraft:stairs_greatwood, Greatwood Stairs
thaumcraft:stairs_silverwood, Silverwood Stairs
thaumcraft:slab_greatwood:0, Greatwood Slab
thaumcraft:slab_silverwood:0, Silverwood Slab
thaumcraft:amber_block, Amber Block
thaumcraft:amber_brick, Amber Bricks
thaumcraft:flesh_block, Block of Flesh
thaumcraft:loot_crate_common, Common Crate
thaumcraft:loot_crate_uncommon, Uncommon Crate
thaumcraft:loot_crate_rare, Rare Crate
thaumcraft:loot_urn_common, Common Urn
thaumcraft:loot_urn_uncommon, Uncommon Urn
thaumcraft:loot_urn_rare, Rare Urn
thaumcraft:taint_fibre, Fibrous Taint
thaumcraft:taint_crust, Crusted Taint
thaumcraft:taint_soil, Tainted Soil
thaumcraft:taint_rock, Tainted Rock
thaumcraft:taint_geyser, Taint Geyser
thaumcraft:taint_feature, Swollen Taint
thaumcraft:taint_log, Taintwood Log
thaumcraft:grass_ambient, Ambient Grass Block
thaumcraft:table_wood, Wood Table
thaumcraft:table_stone, Stone Table
thaumcraft:pedestal_arcane, Arcane Pedestal
thaumcraft:pedestal_ancient, Ancient Pedestal
thaumcraft:pedestal_eldritch, Eldritch Pedestal
thaumcraft:metal_brass, Brass Block
thaumcraft:metal_thaumium, Thaumium Block
thaumcraft:metal_void, Void Metal Block
thaumcraft:metal_alchemical, Alchemical Construct
thaumcraft:metal_alchemical_advanced, Advanced Alchemical Construct
thaumcraft:paving_stone_travel, Paving Stone of Travel
thaumcraft:paving_stone_barrier, Barrier Stone
thaumcraft:pillar_arcane, Infusion Pillar
thaumcraft:pillar_ancient, Ancient Infusion Pillar
thaumcraft:pillar_eldritch, Eldritch Infusion Pillar
thaumcraft:matrix_speed, Infusion Speed Stone
thaumcraft:matrix_cost, Infusion Cost Stone
thaumcraft:candle_white, White Tallow Candle
thaumcraft:candle_orange, Orange Tallow Candle
thaumcraft:candle_magenta, Magenta Tallow Candle
thaumcraft:candle_lightblue, Light Blue Tallow Candle
thaumcraft:candle_yellow, Yellow Tallow Candle
thaumcraft:candle_lime, Lime Tallow Candle
thaumcraft:candle_pink, Pink Tallow Candle
thaumcraft:candle_gray, Gray Tallow Candle
thaumcraft:candle_silver, Light Gray Tallow Candle
thaumcraft:candle_cyan, Cyan Tallow Candle
thaumcraft:candle_purple, Purple Tallow Candle
thaumcraft:candle_blue, Blue Tallow Candle
thaumcraft:candle_brown, Brown Tallow Candle
thaumcraft:candle_green, Green Tallow Candle
thaumcraft:candle_red, Red Tallow Candle
thaumcraft:candle_black, Black Tallow Candle
thaumcraft:banner_white, White Banner
thaumcraft:banner_orange, Orange Banner
thaumcraft:banner_magenta, Magenta Banner
thaumcraft:banner_lightblue, Light Blue Banner
thaumcraft:banner_yellow, Yellow Banner
thaumcraft:banner_lime, Lime Banner
thaumcraft:banner_pink, Pink Banner
thaumcraft:banner_gray, Gray Banner
thaumcraft:banner_silver, Light Gray Banner
thaumcraft:banner_cyan, Cyan Banner
thaumcraft:banner_purple, Purple Banner
thaumcraft:banner_blue, Blue Banner
thaumcraft:banner_brown, Brown Banner
thaumcraft:banner_green, Green Banner
thaumcraft:banner_red, Red Banner
thaumcraft:banner_black, Black Banner
thaumcraft:banner_crimson_cult, Crimson Cult Banner
thaumcraft:nitor_white, White Nitor
thaumcraft:nitor_orange, Orange Nitor
thaumcraft:nitor_magenta, Magenta Nitor
thaumcraft:nitor_lightblue, Light Blue Nitor
thaumcraft:nitor_yellow, Yellow Nitor
thaumcraft:nitor_lime, Lime Nitor
thaumcraft:nitor_pink, Pink Nitor
thaumcraft:nitor_gray, Gray Nitor
thaumcraft:nitor_silver, Light Gray Nitor
thaumcraft:nitor_cyan, Cyan Nitor
thaumcraft:nitor_purple, Purple Nitor
thaumcraft:nitor_blue, Blue Nitor
thaumcraft:nitor_brown, Brown Nitor
thaumcraft:nitor_green, Green Nitor
thaumcraft:nitor_red, Red Nitor
thaumcraft:nitor_black, Black Nitor
thaumcraft:vis_battery, Vis Battery
thaumcraft:inlay, Redstone Inlay
thaumcraft:arcane_workbench, Arcane Workbench
thaumcraft:arcane_workbench_charger, Workbench Charger
thaumcraft:dioptra, Thaumic Dioptra
thaumcraft:research_table, Research Table
thaumcraft:crucible, Crucible
thaumcraft:arcane_ear, Arcane Ear
thaumcraft:arcane_ear_toggle, Arcane Ear (Toggle)
thaumcraft:lamp_arcane, Arcane Lamp
thaumcraft:lamp_fertility, Lamp of Fertility
thaumcraft:lamp_growth, Lamp of Growth  
thaumcraft:levitator, Arcane Levitator
thaumcraft:centrifuge, Essentia Centrifuge
thaumcraft:bellows, Arcane Bellows
thaumcraft:smelter_basic, Essentia Smeltery
thaumcraft:smelter_thaumium, Thaumium Essentia Smeltery
thaumcraft:smelter_void, Void Metal Essentia Smeltery
thaumcraft:smelter_aux, Auxiliary Slurry Pump
thaumcraft:smelter_vent, Auxiliary Venting Port
thaumcraft:alembic, Arcane Alembic
thaumcraft:recharge_pedestal, Recharge Pedestal
thaumcraft:wand_workbench, Focal Manipulator
thaumcraft:hungry_chest, Hungry Chest
thaumcraft:tube, Essentia Tube
thaumcraft:tube_valve, Essentia Valve
thaumcraft:tube_restrict, Restricted Essentia Tube
thaumcraft:tube_oneway, Directional Essentia Tube
thaumcraft:tube_filter, Filtered Essentia Tube
thaumcraft:tube_buffer, Essentia Buffer
thaumcraft:jar_normal, Warded Jar
thaumcraft:jar_void, Void Jar
thaumcraft:jar_brain, Brain in a Jar
thaumcraft:infusion_matrix, Runic Matrix
thaumcraft:infernal_furnace, Infernal Furnace
thaumcraft:everfull_urn, Everfull Urn
thaumcraft:thaumatorium, Thaumatorium
thaumcraft:thaumatorium_top, Thaumatorium
thaumcraft:brain_box, Mnemonic Matrix
thaumcraft:spa, Arcane Spa
thaumcraft:golem_builder, Golem Press
thaumcraft:mirror, Magic Mirror
thaumcraft:mirror_essentia, Essentia Mirror
thaumcraft:essentia_input, Filling Essentia Transfuser
thaumcraft:essentia_output, Emptying Essentia Transfuser
thaumcraft:redstone_relay, Redstone Relay
thaumcraft:pattern_crafter, Arcane Pattern Crafter
thaumcraft:potion_sprayer, Potion Sprayer
thaumcraft:activator_rail, Arcane Activator Rail
thaumcraft:stabilizer, Stabilizer
thaumcraft:vis_generator, Vis Generator
thaumcraft:condenser, Flux Condenser
thaumcraft:condenser_lattice, Flux Condenser Lattice
thaumcraft:condenser_lattice_dirty, Clogged Flux Condenser Lattice
thaumcraft:void_siphon, Void Siphon
thaumcraft:hole, Dimensional Tear
thaumcraft:effect_shock, Static Field
thaumcraft:effect_sap, Sapping Field
thaumcraft:effect_glimmer, Glimmer
thaumcraft:placeholder_brick, Infernal Furnace
thaumcraft:placeholder_obsidian, Infernal Furnace
thaumcraft:placeholder_bars, Golem Press
thaumcraft:placeholder_anvil, Golem Press
thaumcraft:placeholder_cauldron, Golem Press
thaumcraft:placeholder_table, Golem Press
thaumcraft:empty, Empty Space
thaumcraft:barrier, Warding Aura
chisel:blockaluminum:0, Block of Aluminum
chisel:blockaluminum:1, Block of Aluminum
chisel:blockaluminum:2, Block of Aluminum
chisel:blockaluminum:3, Block of Aluminum
chisel:blockaluminum:4, Block of Aluminum
chisel:blockaluminum:5, Block of Aluminum
chisel:blockaluminum:6, Block of Aluminum
chisel:andesite:0, Andesite
chisel:andesite:1, Andesite
chisel:andesite:2, Andesite
chisel:andesite:3, Andesite
chisel:andesite:4, Andesite
chisel:andesite:5, Andesite
chisel:andesite:6, Andesite
chisel:andesite:7, Andesite
chisel:andesite:8, Andesite
chisel:andesite:9, Andesite
chisel:andesite:10, Andesite
chisel:andesite:11, Andesite
chisel:andesite:12, Andesite
chisel:andesite:13, Andesite
chisel:andesite:14, Andesite
chisel:andesite:15, Andesite
chisel:andesite1:0, Andesite
chisel:andesite1:1, Andesite
chisel:andesite1:2, Andesite
chisel:andesite1:3, Andesite
chisel:andesite1:4, Andesite
chisel:andesite1:5, Andesite
chisel:andesite1:6, Andesite
chisel:andesite1:7, Andesite
chisel:andesite1:8, Andesite
chisel:andesite1:9, Andesite
chisel:andesite1:10, Andesite
chisel:andesite1:11, Andesite
chisel:andesite1:12, Andesite
chisel:andesite1:13, Andesite
chisel:andesite1:14, Andesite
chisel:andesite1:15, Andesite
chisel:andesite2:0, Andesite
chisel:antiblock:0, Antiblock
chisel:antiblock:1, Antiblock
chisel:antiblock:2, Antiblock
chisel:antiblock:3, Antiblock
chisel:antiblock:4, Antiblock
chisel:antiblock:5, Antiblock
chisel:antiblock:6, Antiblock
chisel:antiblock:7, Antiblock
chisel:antiblock:8, Antiblock
chisel:antiblock:9, Antiblock
chisel:antiblock:10, Antiblock
chisel:antiblock:11, Antiblock
chisel:antiblock:12, Antiblock
chisel:antiblock:13, Antiblock
chisel:antiblock:14, Antiblock
chisel:antiblock:15, Antiblock
chisel:arcane_stone:0, Arcane Stone
chisel:arcane_stone:1, Arcane Stone
chisel:arcane_stone:2, Arcane Stone
chisel:arcane_stone:3, Arcane Stone
chisel:arcane_stone:4, Arcane Stone
chisel:arcane_stone:5, Arcane Stone
chisel:arcane_stone:6, Arcane Stone
chisel:arcane_stone:7, Arcane Stone
chisel:arcane_stone:8, Arcane Stone
chisel:arcane_stone:9, Arcane Stone
chisel:arcane_stone:10, Arcane Stone
chisel:arcane_stone:11, Arcane Stone
chisel:arcane_stone:12, Arcane Stone
chisel:arcane_stone:13, Arcane Stone
chisel:arcane_stone:14, Arcane Stone
chisel:arcane_stone:15, Arcane Stone
chisel:arcane_stone1:0, Arcane Stone
chisel:arcane_stone1:1, Arcane Stone
chisel:arcane_stone1:2, Arcane Stone
chisel:arcane_stone1:3, Arcane Stone
chisel:arcane_stone1:4, Arcane Stone
chisel:arcane_stone1:5, Arcane Stone
chisel:arcane_stone1:6, Arcane Stone
chisel:arcane_stone1:7, Arcane Stone
chisel:arcane_stone1:8, Arcane Stone
chisel:arcane_stone1:9, Arcane Stone
chisel:arcane_stone1:10, Arcane Stone
chisel:arcane_stone1:11, Arcane Stone
chisel:arcane_stone1:12, Arcane Stone
chisel:arcane_stone1:13, Arcane Stone
chisel:arcane_stone1:14, Arcane Stone
chisel:arcane_stone1:15, Arcane Stone
chisel:arcane_stone2:0, Arcane Stone
chisel:basalt:0, Basalt
chisel:basalt:1, Basalt
chisel:basalt:2, Basalt
chisel:basalt:3, Basalt
chisel:basalt:4, Basalt
chisel:basalt:5, Basalt
chisel:basalt:6, Basalt
chisel:basalt:7, Basalt
chisel:basalt:8, Basalt
chisel:basalt:9, Basalt
chisel:basalt:10, Basalt
chisel:basalt:11, Basalt
chisel:basalt:12, Basalt
chisel:basalt:13, Basalt
chisel:basalt:14, Basalt
chisel:basalt:15, Basalt
chisel:basalt1:0, Basalt
chisel:basalt1:1, Basalt
chisel:basalt1:2, Basalt
chisel:basalt1:3, Basalt
chisel:basalt1:4, Basalt
chisel:basalt1:5, Basalt
chisel:basalt1:6, Basalt
chisel:basalt1:7, Basalt
chisel:basalt1:8, Basalt
chisel:basalt1:9, Basalt
chisel:basalt2:0, Basalt
chisel:basalt2:1, Basalt
chisel:basalt2:2, Basalt
chisel:basalt2:3, Basalt
chisel:basalt2:4, Basalt
chisel:basalt2:5, Basalt
chisel:basalt2:6, Basalt
chisel:basalt2:7, Basalt
